"external_gene_name","entrezgene_id","transcript_biotype"
"Dsg1c",211924,"protein_coding"
"Dsg1a",13510,"protein_coding"
"Dsg1b",225256,"protein_coding"
"Aldh7a1",110695,"protein_coding"
"Dsg4",16769,"protein_coding"
"Phax",56698,"protein_coding"
"Tex43",67343,"protein_coding"
"Lmnb1",16906,"protein_coding"
"Marchf3",320253,"protein_coding"
"Dsg3",13512,"protein_coding"
"C330018D20Rik",77422,"protein_coding"
"Dsg2",13511,"protein_coding"
"Ttr",22139,"protein_coding"
"B4galt6",56386,"protein_coding"
"Megf10",70417,"protein_coding"
"Trappc8",75964,"protein_coding"
"Rnf125",67664,"protein_coding"
"Rnf138",56515,"protein_coding"
"Mep1b",17288,"protein_coding"
"Garem1",381126,"protein_coding"
"Fbn2",14119,"protein_coding"
"Klhl14",225266,"protein_coding"
"Slc27a6",225579,"protein_coding"
"Isoc1",66307,"protein_coding"
"Adamts19",240322,"protein_coding"
"Ccdc178",70950,"protein_coding"
"Krtap20-2",622935,"protein_coding"
"Krtap21-1",170656,"protein_coding"
"Krtap6-2",16701,"protein_coding"
"Ifitm7",74482,"protein_coding"
"Krtap8-1",16703,"protein_coding"
"Klf9",16601,"protein_coding"
"Krtap7-1",71363,"protein_coding"
"Krtap11-1",16693,"protein_coding"
"Rbm14",56275,"protein_coding"
"Bmerb1",67254,"protein_coding"
"Minar2",225583,"protein_coding"
"Rabl3",67657,"protein_coding"
"Habp2",226243,"protein_coding"
"Hgd",15233,"protein_coding"
"Chsy3",78923,"protein_coding"
"Ndufb4",68194,"protein_coding"
"Ndufb4",100041273,"protein_coding"
"Ndufb4",100042503,"protein_coding"
"Gm4951",240327,"protein_coding"
"Ccs",12460,"protein_coding"
"Gm4841",225594,"protein_coding"
"Marf1",223989,"protein_coding"
"F830016B08Rik",240328,"protein_coding"
"Asxl3",211961,"protein_coding"
"Ccdc87",399599,"protein_coding"
"Iigp1",60440,"protein_coding"
"Ctsf",56464,"protein_coding"
"Fstl1",14314,"protein_coding"
"Smim3",106878,"protein_coding"
"Dctn4",67665,"protein_coding"
"Btnl12",102639802,"protein_coding"
"Lrrc58",320184,"protein_coding"
"Gpr156",239845,"protein_coding"
"Gsk3b",56637,"protein_coding"
"Actn3",11474,"protein_coding"
"Nol4",319211,"protein_coding"
"Nde1",67203,"protein_coding"
"Smc5",226026,"protein_coding"
"Rbm22",66810,"protein_coding"
