Cluster	cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
b	b	GO:0031102	neuron projection regeneration	17/2026	73/28928	0.232876712328767	3.32510243546228	5.45848493385565	8.90896989510032e-06	8.33605029021101e-05	4.64027280037748e-05	Tnr/Ndel1/Matn2/Mapk8ip3/Prrx1/Ptn/Chl1/Flna/Mmp2/Neo1/Cspg5/Enpp1/Lrp1/Rtn4r/Gap43/Rtn4rl2/Bcl2	17
b	b	GO:0035264	multicellular organism growth	37/2026	246/28928	0.150406504065041	2.14756137689709	4.96041366078436	9.01439767025677e-06	8.42145691298242e-05	4.68781450356078e-05	Nfix/Stat3/Atn1/Ihh/Csf1/Slc12a5/Pmp22/Igf1/Gamt/Stat5b/Zfp36l1/Unc79/Atp8a2/App/Pkdcc/Apba1/Gpam/Col3a1/Vil1/Notch2/Npr2/Sgip1/Add1/Plac8/Prickle1/Tns2/Enpp1/Cdkn1c/Gdf5/Sh3pxd2b/Dlk1/Igf2/Ghr/Bcl2/Zfp950/Heg1/Selenom	37
b	b	GO:0031669	cellular response to nutrient levels	40/2026	275/28928	0.145454545454545	2.07685542493045	4.92399758678714	9.08022945377579e-06	8.45263840473758e-05	4.70517171987179e-05	Col1a1/Angptl4/Hfe/Mcu/Nprl2/Lpl/Rxra/Lamp2/Gabarap/Sar1a/Micu1/Ncoa1/Cartpt/Rnase4/Ppara/Gdap1/Tsc1/Atf2/Map1lc3a/Postn/Wnt2b/Ctsk/Plin2/Rragc/Alb/Gas6/Sesn3/Flcn/Mtmr3/Wnt4/Sh3glb1/Pdk2/Pak5/Inhba/Wipi1/Penk/Trim32/Bcl2/Clec16a/Mn1	40
b	b	GO:0034767	positive regulation of monoatomic ion transmembrane transport	30/2026	181/28928	0.165745856353591	2.36658249387793	5.06125256790933	9.09038578227533e-06	8.45263840473758e-05	4.70517171987179e-05	Cav1/Cacna1d/Akap5/Ntsr1/Ephb2/Slc9a1/Adcyap1r1/Nlgn3/Flna/Stac/Ank2/Pkd2/Fxyd1/Fxyd7/Cftr/Atp1b2/Kcnj2/Reln/Gjc2/Amigo1/Plcb1/Cacna1c/Gper1/Fxyd3/Cacnb2/Cracr2a/Akap6/Ano6/Fxyd6/Ank3	30
b	b	GO:1903706	regulation of hemopoiesis	58/2026	458/28928	0.126637554585153	1.80817925915069	4.78438191653463	9.11651257944891e-06	8.45620345386001e-05	4.70715620891623e-05	Mmp14/Lgals9/Axl/Stat3/Ihh/Twist2/Csf1/Kitl/Stat5b/Zfp36l1/Ripk1/Cartpt/Hcls1/Tmem176a/Tmem178/Lox/Smarca2/Gpr137/Bad/Stat1/Fbn1/Rassf2/Fam210b/Notch2/Pias3/Slc4a2/Actl6b/Tmem176b/Ptn/Il4ra/Fadd/Gas6/Sh3rf1/Ubash3b/Tgfbr2/Cyld/Socs5/Vnn1/Inpp4b/Itpkb/Tcta/Lrrc17/Il7/Dlk1/Inhba/Pik3r1/Tmem64/Rbp1/Bmyc/Prkca/Tcim/B2m/Rag1/Erbb2/Tnfrsf11b/Lgals1/Il1rl2/Mafb	58
b	b	GO:0071260	cellular response to mechanical stimulus	21/2026	104/28928	0.201923076923077	2.88313463436859	5.27958820754351	9.19625304256895e-06	8.51118224826249e-05	4.7377602234533e-05	Col1a1/Akt1/Aqp1/Cnn2/Cav1/Itga2/Egfr/Habp4/Il33/Bad/Nos3/Mtpn/Casp2/Tnfrsf1a/Fadd/Myd88/Scx/Ripor2/Fgf2/Piezo2/Kcnj2	21
b	b	GO:0099171	presynaptic modulation of chemical synaptic transmission	16/2026	66/28928	0.242424242424242	3.46142570821742	5.49382249101192	9.39427207566819e-06	8.68094924259338e-05	4.83226123277669e-05	Cacna1d/Adora2a/Grik1/Apba1/Chrna4/Chrnb2/Rab3a/Bace1/Myo6/Adra2a/Hip1/Chrm2/Htr1b/Prkca/Grm7/Nrxn3	16
b	b	GO:0045860	positive regulation of protein kinase activity	42/2026	296/28928	0.141891891891892	2.02598649982658	4.8690114207982	1.02388817576195e-05	9.35969052835541e-05	5.21008341680469e-05	Pdgfb/Akt1/Gprc5b/Csf1/Kitl/Igf1/Egfr/Pik3cg/Cartpt/Robo1/Nrxn1/Mapk8ip3/Pdgfrb/Agap2/Ddr2/Traf2/Fbn1/Rassf2/Notch2/Pxn/Camk1/Sez6l2/Gas6/Fgfr1/Adra2a/Fgf1/Fzd8/Fgf2/Map3k10/Reln/Dipk2a/Cdk5r1/Ntf3/Tlr6/Pde5a/Tead1/Tcim/Sez6l/Erbb2/Irgm2/Grem1/Prnp	42
b	b	GO:0007162	negative regulation of cell adhesion	45/2026	326/28928	0.138036809815951	1.97094216898116	4.83819197024441	1.03675160835614e-05	9.46274359099291e-05	5.26744803276843e-05	Acvrl1/Mmp14/Mapk7/Lgals9/Col1a1/Akt1/Ihh/Hfe/Tnr/C1qtnf1/Adora2a/Ppara/Cyp1b1/Twsg1/Plxna2/Postn/Ephb2/Slc4a2/Epha5/Plxna4/Plxnd1/Il4ra/Cask/Plxna3/Mmp2/Ubash3b/Apoa1/Phldb2/Ripor2/Plxnb2/Socs5/Ajap1/Lrp1/Pik3r1/Prkg1/Pde5a/Adam10/Spock1/Cxcl12/Erbb2/H2-T23/Lgals1/Plxnc1/Prnp/Lrrc32	45
b	b	GO:0070873	regulation of glycogen metabolic process	13/2026	46/28928	0.282608695652174	4.03519464354693	5.65367663620617	1.06912983121796e-05	9.7433256134427e-05	5.42363436583045e-05	Akt1/Igf1/Dyrk2/Gfpt1/Rubcnl/Enpp1/Ppp1r3f/C1qtnf2/Epm2aip1/Igf2/Ppp1r3d/Ppp1r3c/Ppp1r3e	13
