Genes	baseMean	log2FoldChange	pvalue	padj	Cluster	is.TF	Phenotype
Mtus1	367.60618543214	-0.503402825144084	1.4104814663371e-05	2.26129846516607e-05	f	-	-
Mtx1	1205.86571476735	-0.907986219634194	8.39573504024834e-16	2.22852276712474e-15	e	-	-
Mtx3	294.557053873263	2.2035585518381	4.16947532924586e-26	1.57873337709309e-25	a	-	-
Mucl3	18.2006683434728	-1.60954225717672	0.001193355402346	0.00167830011938074	e	-	-
Mup6	24.7756805766729	-3.84903584266484	6.62703990956833e-16	1.76649167971894e-15	f	-	-
Mutyh	147.310973094666	-1.80136036951447	1.0887795781273e-34	5.28108068988014e-34	e	-	-
Mvb12a	630.658717919533	-0.886405385261062	1.35992440112427e-09	2.73689171770678e-09	e	-	-
Mvb12b	1402.31599300471	2.08894626096328	8.85835290107386e-54	6.68662767371382e-53	a	-	-
Mvd	1089.26178873989	-0.746947014441606	9.29346189816747e-18	2.64696410871124e-17	e	-	-
Mvp	519.410712962797	-1.5641438176019	6.8666675171815e-36	3.44912646217212e-35	f	-	-
Mxd1	287.793683049569	1.74658849778965	7.05341592780866e-59	5.94010040604143e-58	a	Yes	-
Mxd3	260.739908721879	2.29358074097275	1.49672309093571e-62	1.3522517501118e-61	b	Yes	-
Mxd4	1382.019835955	4.36888215088882	2.97851325743912e-81	3.87206723467086e-80	a	Yes	-
Mxi1	783.042869333203	-0.632573112730699	5.99551657662862e-10	1.22911841708607e-09	f	Yes	-
Mxra7	562.517050885802	3.17921344688171	4.26345176112209e-32	1.91960802218746e-31	c	-	-
Mxra8	854.101552830406	4.36391403503453	1.01762857642662e-118	2.37785393464594e-117	a	-	-
Myb	260.007907652023	-1.86042687849361	1.84381913749382e-135	5.48126269911956e-134	e	Yes	-
Mybbp1a	12628.8669905289	-2.20329466378708	2.91602744288145e-123	7.3034448798774e-122	e	-	-
Mybl1	135.928986385796	-1.34871095758512	0.000291688795837643	0.000429085089880611	f	Yes	abnormal testis morphology; small testis; male infertility; decreased testis weight
Mybl2	4747.61547210523	-4.98870311834587	0	0	f	Yes	-
Mybpc1	11.6897794113873	-2.94155979814862	0.000249229914297819	0.00036798143106168	d	-	-
Mybpc2	9.12090822575911	-6.26865973358677	1.48216493145804e-05	2.37157971840213e-05	e	-	-
Mybpc3	12.1309501925918	-3.41843338509087	7.6442274975835e-07	1.32120936282069e-06	f	-	-
Myc	455.921579645032	1.91923736780675	3.24147517248599e-57	2.64156036444381e-56	e	Yes	reduced female fertility
Mycbp	361.722737575916	-0.626067876729868	9.34084571111536e-19	2.77279907118647e-18	e	-	-
Mycbp2	2085.60871685821	1.10191435993903	0.000522400211871172	0.000755177430981361	c	-	-
Mycbpap	17.0801366879464	6.46776395219796	1.48525956844112e-05	2.37583512998687e-05	a	-	-
Mycn	1416.90303529206	-3.43946223477436	3.82592484987346e-140	1.20516632771014e-138	f	Yes	gonadal ridge hypoplasia
