"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Vmn1r68",0.02,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb15",0,0,0,0,0,1.13,0.89,1.98,2.48,2.14,1.37,1.91,2.15
"Ankrd33",0,0,0,0,0,0.06,0.07,0,0,0,0,0,0.19
"Zfp445",9.71,18.46,35.12,26.56,36.55,43.04,48.01,52.59,62.47,59.42,56.73,56.36,51.49
"Nipa1",0.84,2,2.81,3.28,1.68,5.58,3.73,6.81,5.16,8.66,6.09,9.35,7.52
"Prr15l",8.66,4.01,3.23,4.27,0.48,0.09,0,0.12,0,0.91,0.21,5.36,2.03
"D030056L22Rik",59.13,62.85,35.55,39.71,37,15.95,21.39,17.58,18.03,21.2,13.98,19.61,17.39
"Tmem164",6.4,11.68,16.44,22.57,55.72,62.97,58.23,50.83,61.21,49.95,45.94,54.8,43.33
"Dusp28",7.42,9.28,6.55,7.61,4.02,9.38,5.13,5.5,5.48,5.59,6,9.63,7.78
"Ube2dnl2",0.23,0.1,0,0,0,0,0,0,0,0,0,0,0
"Ngrn",52.73,39.82,51.97,49.55,39.11,32.94,27.11,32.21,37.12,36.56,29.77,35.38,36.76
"Lrrc4b",0.46,0.7,0.51,0.23,0.63,7.01,6.52,9.34,11.77,13.77,14.29,18.78,22.57
"Tmem198b",4.16,6.33,5.85,3.81,16.04,23.06,16.65,27.3,25.06,27.39,22.35,25.61,29.9
"Rnf31",28.61,25.56,29.96,19.93,16.32,20.89,11.23,11.36,12.6,17.43,13.99,20.3,18.96
"Pbp2",0,0.06,0,0.04,0,0,0.06,0,0,0.12,0,0,0
"Cldn14",0.05,0.15,0,0,0,0.34,0,0,0.15,0,0,0,0
"Fam221a",3.75,4.59,2.95,2.24,1.9,5.14,3.71,4.82,4.86,4.96,3.28,5.74,4.45
"Ankdd1b",0.08,0,0,0,0.67,0.21,0,0,0,0.09,0,0.17,0.18
"Ticam1",2.45,2.91,2.32,2.03,5.55,8.01,6.93,9.21,11.07,10.8,9.11,11.89,12.51
"Cltc",219.89,263.15,188.85,183.39,147.42,226.69,141.02,186.39,157.83,239.74,173.85,250.38,218.07
"1700113H08Rik",0,0,0,0,0,0.18,0,0,0,0,0,0,0
"Cd24a",51.63,47.96,41.69,31.86,56.71,494.32,427.16,290.92,308.88,260.43,189.95,207.24,193.47
"Zfp654",5.16,8.11,2.93,3.94,5.46,7.23,5.24,6.38,7.1,7.54,6.08,6.25,4.75
"Dmrta2",1.65,3.29,0.75,0.83,0.61,1.67,1.11,0.22,0.43,0.37,0.43,0.31,0.53
"Tet1",21.84,73.09,46.12,41.86,11.27,17.72,13.39,22.23,17.93,12.76,17.54,14.85,9.87
"Cimip3",0.58,0.24,0.84,0.39,0.26,0.61,0.28,0.05,0,0.27,0,0,0.23
"Khnyn",5.74,8.19,5.43,5.23,18.9,23.08,28.18,20.69,24.94,20.23,20.66,21.1,19.88
"Cyp4x1",0.04,0,0.18,0.51,0.11,0,0,0,0,0.05,0.08,0.33,0.16
"Chst9",0,0,0,0.03,0,0.25,0.14,0.14,0,0.38,0.03,0.05,0.08
"Helt",0,0,0.2,0.14,0,0,0,0,0,0,0,0,0
"Neurl3",0,0,0.09,0.16,0,3.93,8.6,1.04,2.77,0.97,1.93,2.07,2.42
