"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Zfp560",9,11,83,95,81,184,205,256,215,321,274,226,142
"Tssk2",0,0,0,0,1,0,0,0,0,0,0,0,0
"C1ql1",162,213,371,211,5,63,19,27,15,43,41,55,31
"Kcna5",4,9,20,18,0,86,145,164,174,233,224,227,137
"Ddx28",549,502,784,708,396,559,371,516,290,611,328,568,240
"Krt14",3,0,7,10,0,2,0,1,1,4,18,16,4
"Mettl24",3,6,10,5,7,30,20,21,22,28,47,30,32
"Mc2r",0,0,0,0,0,276,118,68,48,60,21,66,14
"Penk",19,41,15,25,23,155,54,119,49,244,288,583,394
"Vmn1r233",0,0,0,0,0,1,0,0,0,0,0,0,0
"St7l",90,140,170,185,178,260,288,335,225,388,335,337,181
"Lypd10",0,1,0,0,0,0,0,0,0,0,0,0,0
"Frrs1l",39,88,25,18,19,11,4,18,8,43,36,58,17
"Olig3",50,97,1,0,0,1,0,1,0,3,0,14,2
"Glb1",2077,3053,658,764,741,673,540,625,482,919,768,969,551
"Zfp553",2590,3925,1208,1330,1100,1779,2010,1394,1193,1446,1387,1175,919
"Dbx2",13,11,32,26,4,2,2,1,3,1,1,0,0
"Chrm2",1,0,1,1,0,25,38,276,186,718,796,1381,803
"Esf1",966,1328,1568,2111,1990,851,1080,1159,841,1225,1130,796,387
"Pigz",1,1,1,0,1,1,0,0,0,0,0,0,0
"Sh3tc2",44,97,41,46,42,40,47,12,24,20,59,33,38
"Tmprss12",22,34,15,21,2,0,0,0,0,0,0,1,0
"Mtus1",405,564,498,420,195,191,164,419,230,662,391,593,228
"Zfp629",39,15,181,113,709,2051,2232,2178,1693,2201,1895,1507,1125
"Vwc2l",0,0,0,0,0,0,0,1,3,4,4,23,8
"Fam216b",0,0,0,0,0,0,0,0,0,0,0,2,0
"Pcdhb10",0,0,0,0,0,21,19,50,15,96,73,95,52
"Pid1",256,457,550,945,389,433,329,521,226,423,288,250,127
"Plekha7",1138,1765,1568,1359,265,161,80,122,88,145,127,228,105
"Henmt1",5,0,16,16,4,5,5,5,9,6,3,2,2
"Cdc42ep2",13,5,9,3,5,29,53,50,90,138,165,196,194
"Mfsd5",957,1183,1305,1226,728,939,604,594,430,781,694,934,686
"Smtnl2",3213,3745,1161,929,730,1403,1812,1210,1037,1276,1361,1337,1106
"Spred2",1156,1643,2603,2218,2034,3254,2420,2343,1508,2668,2228,2438,1299
"Col27a1",24,23,88,54,170,71,84,169,133,289,438,475,278
"Tcf21",3,0,1,1,3,1566,1517,1865,1213,1743,1660,1456,1292
"Pcdhb4",0,0,0,0,0,12,14,30,17,24,24,40,20
"Wdr89",667,1065,1399,1051,375,603,234,241,175,355,207,232,366
"Thtpa",214,307,195,196,158,728,485,737,457,898,728,767,507
"Nlrp4e",1,3,1,2,1,1,1,0,0,0,0,0,0
"Gm21411",687,1005,774,1320,56,8,5,18,6,47,12,30,8
"Prr15",11,5,5,8,4,0,0,6,4,12,13,15,12
"Adrb2",38,56,36,45,27,2,4,43,11,59,34,30,5
"Pnoc",0,0,22,23,1,16,14,23,18,52,93,238,90
"Sprn",1,1,29,32,1,4,2,7,3,14,20,28,5
"Bricd5",0,0,1,0,1,1,0,1,0,2,3,0,0
"Mms22l",839,1244,1898,2068,676,714,681,422,379,597,512,577,374
"Tssc4",516,483,658,809,382,885,714,804,640,857,912,853,568
"Zfp764",80,81,111,102,53,170,183,198,150,211,250,181,113
"Togaram2",2,0,2,1,0,0,1,3,1,2,2,6,5
"Basp1",1185,1336,3816,4585,975,5340,4350,5096,3602,5531,5317,5509,3814
"B230219D22Rik",386,802,1722,1667,1680,4084,3370,3220,2383,4836,3767,4112,2770
"Slc16a5",55,62,3,6,0,0,1,0,0,1,2,1,0
"Lrtm1",0,0,0,3,0,0,1,3,0,0,5,1,1
"Ifitm10",2,1,1,1,7,5,14,1,5,5,6,4,9
"Or51v8",0,3,0,0,0,1,1,2,1,2,0,3,0
"Ccdc149",0,6,19,12,9,56,23,68,44,103,103,119,51
"Whamm",257,380,191,182,73,72,49,113,78,154,116,139,87
"Hsf3",1,8,0,6,0,0,1,0,0,0,1,0,0
"Zfp36l2",792,1116,4391,3645,5196,2535,2205,2244,1853,2864,3180,3344,2349
"Zswim3",274,478,326,305,166,145,177,170,87,186,152,168,76
"Ptprcap",20,8,15,14,7,2,0,3,10,3,18,0,2
"Serpinb9",27,72,53,73,57,212,199,282,247,469,466,468,348
"Hdgfl1",5,9,11,13,0,1,0,0,0,1,0,0,0
"Ccdc9b",13,14,2,3,0,34,31,120,91,115,68,84,38
"Lyrm2",83,94,106,182,166,503,516,782,602,788,700,453,338
"Cradd",343,409,167,179,106,172,173,213,163,246,242,205,137
"Gvin1",0,0,0,0,0,0,0,0,0,2,4,1,1
"Slitrk6",1,0,0,0,0,769,214,198,105,170,164,122,55
