"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Pdss2",378.671728765993,297.393311904333,278.672855891016,345.827687808429,331.442169460376,235.770054520798,231.173071909399,172.631464074015,144.756765232637,181.693515256325,156.698737110439,163.622416846451,145.289248420578
"Cep250",1001.07035204682,732.35631911135,1104.17546673799,696.469682175675,940.37080637595,1215.74558647938,1181.32494896433,1202.93988457925,1322.77733747065,1145.72026562459,1378.44610987526,1244.69909958193,1068.07231271344
"Aox4",37.1786788242975,50.5770938612811,35.0531894202536,48.1430655881803,0,244.768911563577,312.64375804487,141.576068420488,242.093210820101,53.3067751371862,44.4119415339748,19.2005897319815,58.9010466569912
"Mical2",8.26192862762166,42.4847588434761,56.9614328079121,69.0050606763918,678.300253779374,467.040680520207,748.511928869639,959.063689300083,1189.25170057503,1134.4582708773,1399.39513890071,1481.78464235944,1640.06692136022
"Fam50b",0,0,7.01063788405072,3.20953770587869,0,0,0,0,0,0,0,0,1.30891214793314
"Sobp",271.266656606911,297.393311904333,113.922865615824,107.519513146936,3.85397871465553,65.6916564122835,40.7353430677355,131.528734532583,107.319670775921,162.923524010837,212.842134898672,186.997047824515,219.897240852767
"Usp38",1138.76916250719,1400.98549995749,1173.40551584299,1096.85951098404,910.823636230257,1246.34170042483,976.629850048958,1214.81400644677,977.108165320303,1143.46786667513,1055.83106288317,1147.02653442359,887.442436298667
"Ncapd2",6214.34731607609,6399.01391532928,7701.18571562972,7110.73078737423,3979.87535266761,6292.00084431077,6094.00732293323,3780.53772382195,4366.41311680171,3758.50304699653,3922.49619472709,4043.81115920514,4243.49318359923
"Hoxa5",9.63891673222527,5.05770938612811,1.75265947101268,1.60476885293934,468.900743616423,1375.02535613656,819.798779238176,590.965911406813,497.913356274331,746.294851920606,753.327083755535,819.781700730687,831.159213937542
"Neurod2",0,0,0,0,0,0,0,0.913393989809603,0,0,0,0,0
"Bcl9",371.786788242975,361.120450169547,1202.3243971147,858.551336322549,1650.78754944412,3933.40041339851,4451.35461372679,3360.37648850953,3960.84459352061,2680.3547498557,3511.89522582808,2637.15925927519,3163.64066155439
"Glra3",0,0,0,0,0,6.29919992994499,2.03676715338677,12.7875158573344,4.99161259422888,7.50799649819523,3.35184464407357,5.00884949529951,2.61782429586627
"Gdf5",11.0159048368289,3.03462563167687,0.87632973550634,10.4309975441057,0,26.0966854240578,3.05515073008016,13.700909847144,24.9580629711444,50.3035765379081,32.6804852797173,80.1415919247922,40.5762765859272
"Trpm4",360.770883406146,544.209529947384,291.817801923611,361.072991911352,77.0795742931106,358.154510302587,232.191455486092,432.948751169752,361.891913081594,531.566152072223,599.14223012815,601.061939435942,691.105614108696
"Sema7a",132.190858041947,219.50458735796,70.1063788405072,60.1788319852254,448.346190471594,14.3981712684457,35.6434251842685,45.6696994904801,52.4119322394032,73.5783656823133,67.0368928814714,68.45427643576,54.9743102131917
"Slc22a23",126.682905623532,408.662918399151,214.700785199053,261.577323029113,799.058253505247,123.284341486066,113.040577012966,108.693884787343,168.466925055225,161.421924711198,169.268154525715,217.050144796312,191.101173598238
"Ovca2",941.859863548869,746.517905392509,785.191443013681,750.229438749143,488.170637189701,1275.13804296172,932.839356251142,1206.59346053849,1010.80155033135,1281.61500224193,1043.2616454679,1133.66960243612,1082.4703463407
"Iffo1",130.813869937343,194.216040427319,28.0425515362029,45.7359123087713,399.529126752623,341.956567625585,342.176881768978,263.057469065166,328.198528070549,241.757487241887,276.527183136069,192.005897319815,235.604186627965
